LAT,LON,X==EW,Y==NS,Z,SLIP
-30.6286,-71.5535,7.2821,107.9129,29,0.1852
-30.5212,-71.5403,8.5595,119.8538,29,0.054
-30.4138,-71.527,9.8493,131.7945,29,0.0024
-30.3064,-71.5138,11.1323,143.735,29,0.0493
-30.199,-71.5005,12.423,155.6754,29,0.0012
-30.0916,-71.4873,13.7164,167.6157,29,0.0586
-29.9842,-71.474,15.0174,179.5557,29,0.0731
-29.8768,-71.4608,16.3116,191.4957,29,0.0788
-32.4622,-71.6914,-5.8777,-95.9642,31.865,0.0572
-32.3548,-71.6781,-4.6306,-84.0218,31.865,0.1219
-32.2474,-71.6649,-3.39,-72.0795,31.865,0.0081
-32.14,-71.6516,-2.137,-60.1374,31.865,0.1123
-32.0326,-71.6384,-0.8904,-48.1954,31.865,0.0619
-31.9252,-71.6251,0.3684,-36.2535,31.865,0.1381
-31.8178,-71.6119,1.6208,-24.3118,31.865,0.3504
-31.7104,-71.5986,2.8902,-12.3703,31.865,0.7296
-31.603,-71.5854,4.1437,-0.4289,31.865,1.9489
-31.4956,-71.5721,5.4142,11.5123,31.865,2.7808
-31.3882,-71.5589,6.6782,23.4534,31.865,2.4886
-31.2808,-71.5456,7.9545,35.3943,31.865,2.5185
-31.1734,-71.5324,9.2241,47.3351,31.865,2.9657
-31.066,-71.5191,10.5062,59.2757,31.865,2.8933
-30.9586,-71.5059,11.7863,71.2161,31.865,2.2464
-30.8512,-71.4926,13.0693,83.1564,31.865,1.9779
-30.7438,-71.4793,14.3599,95.0966,31.865,1.4888
-30.6364,-71.4661,15.6438,107.0366,31.865,0.677
-30.529,-71.4528,16.94,118.9764,31.865,0.1978
-30.4216,-71.4396,18.2295,130.9161,31.865,0.1733
-30.3142,-71.4263,19.5313,142.8556,31.865,0.2631
-30.2068,-71.4131,20.8216,154.795,31.865,0.1108
-30.0994,-71.3998,22.1338,166.7342,31.865,0.0693
-29.992,-71.3866,23.4296,178.6733,31.865,0.0629
-29.8846,-71.3733,24.7474,190.6122,31.865,0.1501
-32.4701,-71.604,2.3223,-96.8412,34.73,0.037
-32.3627,-71.5907,3.579,-84.8998,34.73,0.0163
-32.2553,-71.5775,4.8292,-72.9585,34.73,0.3758
-32.1479,-71.5642,6.0917,-61.0173,34.73,0.0019
-32.0405,-71.5509,7.3572,-49.0764,34.73,0.0486
-31.9331,-71.5377,8.6161,-37.1355,34.73,0.0732
-31.8257,-71.5244,9.8874,-25.1949,34.73,0.2705
-31.7183,-71.5112,11.1522,-13.2543,34.73,0.3645
-31.6109,-71.4979,12.4293,-1.314,34.73,1.7728
-31.5035,-71.4847,13.6998,10.6263,34.73,2.1117
-31.3961,-71.4714,14.9826,22.5663,34.73,1.3484
